0:0:0:0:0:0:0:1 - - [13/May/2024:10:55:48 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 12313
0:0:0:0:0:0:0:1 - - [13/May/2024:10:55:48 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:55:49 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 12313
0:0:0:0:0:0:0:1 - - [13/May/2024:10:55:49 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:56:12 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 12307
0:0:0:0:0:0:0:1 - - [13/May/2024:10:56:12 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:56:13 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 12307
0:0:0:0:0:0:0:1 - - [13/May/2024:10:56:13 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:56:26 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 12307
0:0:0:0:0:0:0:1 - - [13/May/2024:10:56:26 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:56:29 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 12307
0:0:0:0:0:0:0:1 - - [13/May/2024:10:56:29 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:56:33 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 12299
0:0:0:0:0:0:0:1 - - [13/May/2024:10:56:33 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:59:14 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 12323
0:0:0:0:0:0:0:1 - - [13/May/2024:10:59:14 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:11:00:28 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 12336
0:0:0:0:0:0:0:1 - - [13/May/2024:11:00:28 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:11:00:31 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 12336
0:0:0:0:0:0:0:1 - - [13/May/2024:11:00:31 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:11:00:31 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 12336
0:0:0:0:0:0:0:1 - - [13/May/2024:11:00:31 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:11:00:31 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 12336
0:0:0:0:0:0:0:1 - - [13/May/2024:11:00:31 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:11:01:30 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 12388
0:0:0:0:0:0:0:1 - - [13/May/2024:11:01:30 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:11:01:31 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 12388
0:0:0:0:0:0:0:1 - - [13/May/2024:11:01:31 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:11:01:31 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 12388
0:0:0:0:0:0:0:1 - - [13/May/2024:11:01:31 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:11:08:19 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 12415
0:0:0:0:0:0:0:1 - - [13/May/2024:11:08:19 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:11:10:40 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 12436
0:0:0:0:0:0:0:1 - - [13/May/2024:11:10:40 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
